"region_sido","region_sigungu","doctor_level","treated","shock_year","n_obs","population_median","outcome_mean","pre_mean","post_mean","pre_beta","post_beta","delta_beta","pre_beta_pop_ctrl","post_beta_pop_ctrl","delta_beta_pop_ctrl","control_beta","control_beta_pop_ctrl"
"강원","강릉시","total",TRUE,2018,18,213899,441.666666666667,412.5,478.125,12.3090909090909,-0.702380952380056,-13.0114718614709,13.7786045854772,5.6114606761197,-8.16714390935753,NA,NA
"강원","강릉시","레지던트",TRUE,2018,18,213899,53.7222222222222,63.2,41.875,0.0848484848486888,-6.27380952380947,-6.35865800865816,-0.0905220373347631,-7.51595707939767,-7.42543504206291,NA,NA
"강원","강릉시","인턴",TRUE,2018,18,213899,0.166666666666667,0.2,0.125,-0.0606060606060605,-0.035714285714285,0.0248917748917755,0.125814482175793,0.0686296903170272,-0.0571847918587655,NA,NA
"강원","강릉시","일반의",TRUE,2018,18,213899,19.1111111111111,18.8,19.5,0.0363636363636373,0.857142857142883,0.820779220779246,1.38856161992436,1.74426982330652,0.355708203382167,NA,NA
"강원","강릉시","전문의",TRUE,2018,18,213899,368.666666666667,330.3,416.625,12.2484848484852,4.7499999999997,-7.49848484848546,12.3547505207187,11.3145182418813,-1.04023227883734,NA,NA
"강원","고성군","total",FALSE,NA,18,30043,11.8888888888889,NA,NA,NA,NA,NA,NA,NA,NA,-0.301341589267287,-0.354541239698004
"강원","고성군","일반의",FALSE,NA,18,30043,4.27777777777778,NA,NA,NA,NA,NA,NA,NA,NA,-0.0815273477812104,-0.242085508859838
"강원","고성군","전문의",FALSE,NA,18,30043,7.61111111111111,NA,NA,NA,NA,NA,NA,NA,NA,-0.219814241486068,-0.1124557308381
"강원","동해시","total",TRUE,2020,18,93074,110.666666666667,109.083333333333,113.833333333333,1.20629370629371,-0.485714285714384,-1.69200799200809,0.782124179064503,2.18105109847188,1.39892691940738,NA,NA
"강원","동해시","일반의",TRUE,2020,18,93074,11.3888888888889,12.25,9.66666666666667,-0.031468531468548,0.800000000000008,0.831468531468556,0.4937637609758,-6.03211245120823,-6.52587621218403,NA,NA
"강원","동해시","전문의",TRUE,2020,18,93074,99.2777777777778,96.8333333333333,104.166666666667,1.2377622377623,-1.28571428571422,-2.52347652347652,0.288360418089224,8.21316354966114,7.92480313157192,NA,NA
"강원","삼척시","total",TRUE,2020,18,69056.5,64.7777777777778,63.1666666666667,68,1.39860139860135,-0.742857142857294,-2.14145854145865,1.82125528796973,-4.96543395685803,-6.78668924482776,NA,NA
"강원","삼척시","인턴",TRUE,2020,18,69056.5,0.0555555555555556,0,0.166666666666667,0,-0.142857142857143,-0.142857142857143,0,0.180259690175383,0.180259690175383,NA,NA
"강원","삼척시","일반의",TRUE,2020,18,69056.5,13.9444444444444,14.6666666666667,12.5,-0.111888111888131,-0.485714285714432,-0.373826173826301,-0.561794229016317,-3.31846740137087,-2.75667317235455,NA,NA
"강원","삼척시","전문의",TRUE,2020,18,69056.5,50.7777777777778,48.5,55.3333333333333,1.51048951048956,-0.114285714285815,-1.62477522477538,2.38304951698653,-1.82722624566254,-4.21027576264907,NA,NA
"강원","속초시","total",FALSE,NA,18,82548.5,109.722222222222,NA,NA,NA,NA,NA,NA,NA,NA,1.68937048503612,1.78682214640892
"강원","속초시","일반의",FALSE,NA,18,82548.5,10.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.181630546955626,-0.310932145344837
"강원","속초시","전문의",FALSE,NA,18,82548.5,99.3888888888889,NA,NA,NA,NA,NA,NA,NA,NA,1.87100103199174,2.0977542917537
"강원","양구군","total",FALSE,NA,18,22281.5,22.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA,0.286893704850392,0.402461484914219
