"hospital_type","treated_regions","control_regions","mean_shock_year","mean_pre_beta","mean_post_beta","mean_delta_beta","median_delta_beta","mean_pre_beta_pop_ctrl","mean_post_beta_pop_ctrl","mean_delta_beta_pop_ctrl","median_delta_beta_pop_ctrl","share_delta_beta_positive","share_delta_beta_pop_ctrl_positive","mean_control_beta","mean_control_beta_pop_ctrl"
"병원",61,41,2014.54098360656,0.317366786219262,-0.057338836027361,-0.374705622246623,-0.20357142857143,0.503588369053073,-0.0481485271413865,-0.55173689619446,-3.18853941756331e-18,0.229508196721311,0.442622950819672,-0.0408769412771523,0.0327703193221499
"상급종합병원",7,1,2014.42857142857,0.0306122448979638,0.0479591836734662,0.0173469387755024,3.46797376569184e-17,0.0250207737199158,0.0564877399333896,0.0314669662134739,5.81266437386147e-17,0.714285714285714,0.571428571428571,-0.0670794633642941,0.00849479350325967
"의원",62,47,2014.51612903226,0.737797686184758,0.949970325373565,0.212172639188807,0.036813186813184,-1.30067627645559,1.00816567366675,2.30884195012233,0.0659367221689977,0.5,0.532258064516129,0.275475923852185,0.309679322490364
"종합병원",39,20,2014.53846153846,0.0595238095237988,0.0289447731755429,-0.0305790363482559,-3.1717764953696e-17,0.115543103789685,0.0199070015280016,-0.0956361022616838,-3.00722126734329e-16,0.435897435897436,0.358974358974359,0.0124355005159959,-0.0863210634863891
