"doctor_level","treated_regions","control_regions","mean_shock_year","mean_pre_beta","mean_post_beta","mean_delta_beta","median_delta_beta","mean_pre_beta_pop_ctrl","mean_post_beta_pop_ctrl","mean_delta_beta_pop_ctrl","median_delta_beta_pop_ctrl","share_delta_beta_positive","share_delta_beta_pop_ctrl_positive","mean_control_beta","mean_control_beta_pop_ctrl"
"total",62,48,2014.51612903226,7.04821066030721,2.69597096451936,-4.35223969578785,-2.13391608391621,9.17240991643518,4.23413986014577,-4.93827005628942,-1.02272226822478,0.193548387096774,0.451612903225806,0.761330409356726,0.777705274932455
"레지던트",23,5,2013.82608695652,-1.08664596273267,-2.60625606277776,-1.5196101000451,-0.616883116883074,9.00205876143255,-3.65512362835012,-12.6571823897827,-1.45150210249509,0.391304347826087,0.391304347826087,-0.695768833849344,-1.60073887275676
"인턴",44,35,2014.18181818182,-0.701464823055697,-0.16605685980687,0.535407963248826,0.0245337995337993,-2.72178057071348,0.00639103493513821,2.72817160564862,0.0321504490968553,0.727272727272727,0.681818181818182,0.0300457024915234,-0.067633841033848
"일반의",62,48,2014.51612903226,0.407196835422634,0.222668057748696,-0.184528777673938,0.159890109890274,0.522424981524634,-0.748086201350074,-1.27051118287471,-1.03635481100154,0.516129032258065,0.403225806451613,-0.0396026831785337,-0.303095370075316
"전문의",62,48,2014.51612903226,7.54193816935762,3.5579866370189,-3.98395153233872,-2.16061438561448,7.24209773487894,6.33362344721979,-0.908474287659151,-0.787826958415264,0.193548387096774,0.419354838709677,0.851500687994502,1.29686062000683
