"region_sido","region_sigungu","hospital_type","treated","shock_year","n_obs","population_median","outcome_mean","pre_mean","post_mean","pre_beta","post_beta","delta_beta","pre_beta_pop_ctrl","post_beta_pop_ctrl","delta_beta_pop_ctrl","control_beta","control_beta_pop_ctrl"
"강원","강릉시","병원",TRUE,2018,18,213899,2.94444444444444,3.7,2,0.236363636363643,-0.380952380952345,-0.617316017315989,-0.063270206416652,-0.256339097689766,-0.193068891273114,NA,NA
"강원","강릉시","상급종합병원",TRUE,2018,18,213899,0.277777777777778,0,0.625,0,0.178571428571405,0.178571428571405,0,0.313309131003468,0.313309131003468,NA,NA
"강원","강릉시","의원",TRUE,2018,18,213899,108.166666666667,101.7,116.25,1.37575757575754,2.11904761904772,0.743290043290183,2.66631441454586,1.58111815421785,-1.08519626032801,NA,NA
"강원","강릉시","종합병원",TRUE,2018,18,213899,3.72222222222222,4,3.375,-6.55888574428535e-18,-0.178571428571404,-0.178571428571404,1.48938039195783e-16,-0.313309131003567,-0.313309131003567,NA,NA
"강원","고성군","의원",FALSE,NA,18,30043,6.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,-0.0227038183694528,0.0264081071091954
"강원","동해시","병원",TRUE,2020,18,93074,2.22222222222222,2.5,1.66666666666667,-0.160839160839176,-0.228571428571424,-0.0677322677322478,-0.304512827202312,0.273740391646011,0.578253218848323,NA,NA
"강원","동해시","의원",TRUE,2020,18,93074,49.2777777777778,49.1666666666667,49.5,0.685314685314702,-0.257142857142805,-0.942457542457507,1.18626697544231,2.24148473856576,1.05521776312344,NA,NA
"강원","동해시","종합병원",TRUE,2020,18,93074,1.11111111111111,1,1.33333333333333,1.67517280642141e-17,0.228571428571424,0.228571428571424,8.41499226234832e-17,-0.273740391646011,-0.273740391646011,NA,NA
"강원","삼척시","병원",TRUE,2020,18,69056.5,1,1,1,-5.02551841925671e-17,-1.6156497672609e-17,3.40986865199581e-17,-7.85111578043047e-17,1.26350335559559e-16,2.04861493363863e-16,NA,NA
"강원","삼척시","의원",TRUE,2020,18,69056.5,26.1666666666667,26.5833333333333,25.3333333333333,0.0734265734266022,-1.14285714285695,-1.21628371628355,0.399044182041645,-1.3980230766352,-1.79706725867684,NA,NA
"강원","삼척시","종합병원",TRUE,2020,18,69056.5,1,1,1,-1.67517280641655e-17,-4.84694930178615e-17,-3.1717764953696e-17,2.4734945341225e-17,-4.98273135225885e-16,-5.2300808056711e-16,NA,NA
"강원","속초시","병원",FALSE,NA,18,82548.5,1.05555555555556,NA,NA,NA,NA,NA,NA,NA,NA,-0.184726522187821,-0.186205920436523
"강원","속초시","의원",FALSE,NA,18,82548.5,59.7222222222222,NA,NA,NA,NA,NA,NA,NA,NA,1.02683178534571,1.16264008092228
"강원","속초시","종합병원",FALSE,NA,18,82548.5,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.0743034055727555,0.0512756341837929
"강원","양구군","병원",FALSE,NA,18,22281.5,2.94444444444444,NA,NA,NA,NA,NA,NA,NA,NA,0.0175438596491225,0.0233163082661631
"강원","양구군","의원",FALSE,NA,18,22281.5,4.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.195046439628483,0.234782705417826
"강원","양양군","의원",FALSE,NA,18,27718,6.05555555555556,NA,NA,NA,NA,NA,NA,NA,NA,-0.00515995872033033,-0.00903860837091226
"강원","영월군","병원",TRUE,2021,18,40070,0.888888888888889,0.846153846153846,1,0.0604395604395614,-7.86676110793072e-17,-0.0604395604395615,0.103284718432276,1.85827547145505e-16,-0.103284718432276,NA,NA
"강원","영월군","의원",TRUE,2021,18,40070,12,12.6153846153846,10.4,-0.208791208791209,-0.400000000000005,-0.191208791208796,-0.314294606967074,-1.99989563805454,-1.68560103108747,NA,NA
"강원","영월군","종합병원",TRUE,2021,18,40070,1,1,1,7.59150958833428e-20,9.62938393668201e-30,-7.59150958737134e-20,6.28173968404493e-20,-3.15301770208022e-16,-3.15364587604863e-16,NA,NA
"강원","원주시","병원",TRUE,2018,18,339658,15.7222222222222,14,17.875,1.18787878787879,-0.0119047619047686,-1.19978354978356,-1.19155294207872,0.181237394185129,1.37279033626385,NA,NA
"강원","원주시","상급종합병원",TRUE,2018,18,339658,1,1,1,4.91916430821253e-18,1.38104190192065e-17,8.89125471099393e-18,7.86291203096841e-17,-9.29509690060789e-18,-8.7924217210292e-17,NA,NA
"강원","원주시","의원",TRUE,2018,18,339658,186.222222222222,168.5,208.375,3.21818181818208,6.5833333333334,3.36515151515132,3.59157684608473,3.74998716821255,0.158410322127814,NA,NA
"강원","원주시","종합병원",TRUE,2018,18,339658,1,1,1,8.19860718035936e-18,2.30173650320207e-17,1.48187578516613e-17,2.57523585658301e-17,5.24237191585577e-17,2.66713605927276e-17,NA,NA
