year,station_name,terminal_station,ktx_travel_time_min,ktx_travel_time_median,ktx_travel_time_mean,interval_minutes,n_trains
2011,곡성역,용산역,169,170.5,170.5,333.0,2
2011,광명역,서울역,9,15.0,15.425531914893616,31.195652173913043,47
2011,광명역,용산역,13,13.0,14.526315789473685,78.83333333333333,19
2011,광주송정역,용산역,155,171.0,169.54545454545453,96.8,11
2011,광주역,용산역,174,179.0,180.22222222222223,120.0,9
2011,구례구역,용산역,178,181.5,181.5,819.0,2
2011,김제역,용산역,121,127.0,128.85714285714286,148.83333333333334,7
2011,김천(구미)역,서울역,84,91.0,91.0952380952381,52.4,21
2011,나주역,용산역,178,184.5,184.5,270.0,4
2011,남원역,용산역,153,158.0,158.33333333333334,410.0,3
2011,논산역,용산역,84,93.0,92.33333333333333,116.375,9
2011,대전역,서울역,53,61.0,63.71232876712329,19.541666666666668,73
2011,동대구역,서울역,103,114.0,115.19718309859155,15.314285714285715,71
2011,마산역,서울역,176,179.0,179.58333333333334,87.27272727272727,12
2011,목포역,용산역,190,205.0,205.1818181818182,97.0,11
2011,밀양역,서울역,142,143.5,144.5,136.85714285714286,8
2011,부산역,서울역,133,163.0,168.18333333333334,18.389830508474578,60
2011,서대전역,용산역,54,62.0,61.88,57.375,25
2011,순천역,용산역,187,196.0,195.0,204.75,5
2011,신경주역,서울역,122,137.0,140.85714285714286,29.41176470588235,35
2011,여수엑스포역,용산역,212,219.0,218.8,205.0,5
2011,여천역,용산역,203,210.0,209.66666666666666,410.0,3
2011,오송역,서울역,42,47.0,47.470588235294116,61.4375,17
2011,오송역,용산역,46,48.5,48.5,426.0,2
2011,울산역,서울역,134,144.5,153.94736842105263,29.0,38
2011,익산역,용산역,105,114.0,114.88,43.0,25
2011,장성역,용산역,151,157.0,158.33333333333334,73.63636363636364,12
2011,전주역,용산역,125,131.0,131.4,205.75,5
2011,정읍역,용산역,134,140.5,140.57142857142858,73.84615384615384,14
2011,진영역,서울역,159,161.5,161.5,290.0,4
2011,창원역,서울역,171,174.5,175.0,174.0,6
2011,창원중앙역,서울역,165,168.0,168.57142857142858,125.0,7
2011,천안아산역,서울역,29,39.0,38.25,39.91428571428571,36
2011,천안아산역,용산역,34,38.5,38.357142857142854,74.53846153846153,14
2012,계룡역,용산역,73,80.0,80.7,87.22222222222223,10
2012,곡성역,용산역,176,177.0,177.0,325.0,2
2012,광명역,서울역,9,15.0,15.5,28.137254901960784,52
2012,광명역,용산역,13,13.0,15.25,58.78260869565217,24
2012,광주송정역,용산역,153,168.5,170.33333333333334,88.0,12
2012,광주역,용산역,167,183.5,183.3,106.66666666666667,10
2012,구례구역,용산역,174,181.5,181.5,820.0,2
2012,김제역,용산역,125,129.0,130.28571428571428,148.16666666666666,7
2012,김천(구미)역,서울역,85,90.0,91.72727272727273,49.904761904761905,22
2012,나주역,용산역,178,182.5,183.0,268.6666666666667,4
2012,남원역,용산역,156,166.0,163.6,205.0,5
2012,논산역,용산역,86,95.0,95.0,178.0,6
2012,대전역,서울역,53,61.0,63.848837209302324,16.55294117647059,86
2012,동대구역,서울역,103,114.0,115.10975609756098,13.246913580246913,82
2012,마산역,서울역,171,179.0,179.83333333333334,87.27272727272727,12
2012,목포역,용산역,187,205.0,205.33333333333334,88.18181818181819,12
2012,밀양역,서울역,143,146.0,147.0,136.85714285714286,8
2012,부산역,서울역,133,163.0,167.18840579710144,15.955882352941176,69
2012,서대전역,용산역,54,63.5,63.392857142857146,51.148148148148145,28
2012,순천역,용산역,187,195.0,195.16666666666666,188.0,6
2012,신경주역,서울역,128,135.0,140.59459459459458,27.75,37
2012,여수엑스포역,용산역,208,215.0,215.5,188.0,6
2012,여천역,용산역,201,204.0,206.75,313.3333333333333,4
2012,오송역,서울역,42,48.0,47.92307692307692,39.16,26
2012,오송역,용산역,46,46.0,46.833333333333336,94.2,6
2012,울산역,서울역,129,143.0,151.90697674418604,25.547619047619047,43
2012,익산역,용산역,104,116.0,116.0,38.333333333333336,28
2012,장성역,용산역,154,162.5,161.58333333333334,73.27272727272727,12
2012,전주역,용산역,130,138.5,137.5,187.0,6
2012,정읍역,용산역,133,144.0,143.35714285714286,73.84615384615384,14
2012,진영역,서울역,160,166.5,165.75,290.0,4
2012,진주역,서울역,198,212.0,210.83333333333334,152.2,6
2012,창원역,서울역,171,177.5,178.33333333333334,174.0,6
2012,창원중앙역,서울역,161,167.0,166.57142857142858,118.33333333333333,7
2012,천안아산역,서울역,29,37.5,38.575,35.69230769230769,40
2012,천안아산역,용산역,38,39.0,41.0,81.25,13
2012,함안역,서울역,193,197.0,197.0,297.0,2
2013,계룡역,용산역,70,78.0,77.9,87.22222222222223,10
2013,곡성역,용산역,173,174.0,174.0,330.0,2
2013,광명역,서울역,9,15.0,15.87037037037037,27.07547169811321,54
2013,광명역,용산역,13,13.0,14.961538461538462,54.12,26
2013,광주송정역,서울역,194,194.0,194.0,,1
2013,광주송정역,용산역,150,166.0,168.16666666666666,88.45454545454545,12
2013,광주역,용산역,163,182.0,181.0,97.5,11
2013,구례구역,용산역,173,180.0,180.0,830.0,2
2013,김제역,서울역,150,150.0,150.0,,1
2013,김제역,용산역,122,128.0,129.28571428571428,149.0,7
2013,김천(구미)역,서울역,85,91.0,91.9,55.21052631578947,20
2013,나주역,서울역,204,204.0,204.0,,1
2013,나주역,용산역,175,180.5,183.0,267.0,4
2013,남원역,용산역,149,159.0,159.33333333333334,166.0,6
2013,논산역,용산역,83,90.0,90.83333333333333,179.0,6
2013,대전역,서울역,50,58.0,61.372093023255815,16.529411764705884,86
2013,동대구역,서울역,103,114.0,115.49397590361446,13.109756097560975,83
2013,마산역,서울역,172,179.0,179.91666666666666,87.27272727272727,12
2013,목포역,서울역,231,231.0,231.0,,1
2013,목포역,용산역,184,202.0,203.08333333333334,88.63636363636364,12
2013,밀양역,서울역,143,146.0,147.0,136.85714285714286,8
2013,부산역,서울역,137,163.0,168.0,15.5,71
2013,서대전역,서울역,77,77.0,77.0,,1
2013,서대전역,용산역,51,61.0,60.666666666666664,47.62068965517241,30
2013,순천역,용산역,179,189.0,191.0,159.16666666666666,7
2013,신경주역,서울역,128,136.0,140.83783783783784,27.75,37
2013,여수엑스포역,용산역,201,210.0,211.57142857142858,159.16666666666666,7
2013,여천역,용산역,193,202.0,202.6,238.75,5
2013,오송역,서울역,39,45.0,45.67857142857143,38.592592592592595,28
2013,오송역,용산역,42,43.0,44.142857142857146,78.83333333333333,7
2013,용산역,서울역,8,8.0,8.0,,1
2013,울산역,서울역,129,145.0,151.75555555555556,23.863636363636363,45
2013,익산역,서울역,130,130.0,130.0,,1
2013,익산역,용산역,101,113.0,113.23333333333333,36.206896551724135,30
2013,장성역,서울역,181,181.0,181.0,,1
2013,장성역,용산역,150,159.0,159.41666666666666,72.81818181818181,12
2013,전주역,용산역,122,135.0,133.42857142857142,158.33333333333334,7
2013,정읍역,용산역,130,141.0,140.66666666666666,69.64285714285714,15
2013,진영역,서울역,160,166.5,165.75,290.0,4
2013,진주역,서울역,199,212.0,210.66666666666666,152.6,6
2013,창원역,서울역,171,177.5,178.33333333333334,174.0,6
2013,창원중앙역,서울역,162,167.0,166.71428571428572,118.33333333333333,7
