region_sido,region_sigungu,lon_epsg_4326,lat_epsg_4326
강원,강릉시,128.83264215557946,37.70920497345897
강원,고성군,128.40001882735348,38.377273132830496
강원,동해시,129.05582967556833,37.50689435956642
강원,삼척시,129.12231632391246,37.27743243492508
강원,속초시,128.51979956083844,38.17611435447553
강원,양구군,128.0012367982651,38.17805025807918
강원,양양군,128.59542363488666,38.004597868625105
강원,영월군,128.50059837833,37.204011915873735
강원,원주시,127.92952207781332,37.3082213375686
강원,인제군,128.26332396206814,38.06881164945402
강원,정선군,128.73906314055424,37.37868605643131
강원,철원군,127.41344816577876,38.24387530436406
강원,춘천시,127.73986837117184,37.88979680291137
강원,태백시,128.98006692324307,37.17231397119439
강원,평창군,128.48258990937495,37.55683956773714
강원,홍천군,128.07426084127667,37.74504892655578
강원,화천군,127.68516573143754,38.13842629508749
강원,횡성군,128.07712470062896,37.508966782141215
경기,가평군,127.45019212297743,37.81843303117854
경기,고양시 덕양구,126.87863904432473,37.655808512237506
경기,고양시 일산 동구,126.79735316516602,37.67978323893388
경기,고양시 일산 서구,126.72785797444689,37.680326008155916
경기,과천시,127.00267821278699,37.4338443801804
경기,광명시,126.86470187159532,37.44516067886737
경기,광주시,127.30117596143332,37.40309071852747
경기,구리시,127.13121683258737,37.599193205326564
경기,군포시,126.92107834818701,37.34347295255885
경기,김포시,126.62582660131999,37.68082622789587
경기,남양주시,127.24365540042379,37.66252810150422
경기,동두천시,127.0779115768046,37.91653696503329
경기,부천시,126.7886741408142,37.50425256306801
경기,성남시 분당구,127.106018967467,37.37933446277853
경기,성남시 수정구,127.10420055832343,37.43526537836954
경기,성남시 중원구,127.16389627431323,37.43342861431573
경기,수원시 권선구,126.97975856128366,37.26052520206842
경기,수원시 영통구,127.05672428334107,37.27502554225509
경기,수원시 장안구,127.00344407247152,37.31396950164548
경기,수원시 팔달구,127.01624635666481,37.27745976289492
경기,시흥시,126.78355809730225,37.38606995723425
경기,안산시 단원구,126.68327173703427,37.27787230101553
경기,안산시 상록구,126.87057008166803,37.31567945627419
경기,안성시,127.30272183776964,37.03502714846338
경기,안양시 동안구,126.9554240116684,37.40039642067095
경기,안양시 만안구,126.91137778224528,37.404122670290185
경기,양주시,127.0011381212108,37.8086613214119
경기,양평군,127.57926443898717,37.518055852639804
경기,여주시,127.61573482365189,37.30246109787152
경기,연천군,127.02381074700651,38.0970382600367
경기,오산시,127.05132985689819,37.16329067671034
경기,용인시 기흥구,127.12134336375144,37.26741845204371
경기,용인시 수지구,127.07157102374741,37.33343899842976
경기,용인시 처인구,127.25293187256025,37.20333140138313
경기,의왕시,126.98960653852262,37.362380755174144
경기,의정부시,127.06842514593514,37.736191851778884
경기,이천시,127.48101270629786,37.20977778136359
경기,파주시,126.80945816697229,37.85551736547386
경기,평택시,126.9931355900824,37.01530078552348
경기,포천시,127.25033731349515,37.969778191366366
경기,하남시,127.20594368293166,37.522814616509876
경기,화성시,126.85691586783886,37.16979973328529
경남,거제시,128.6233354607226,34.870291139947284
경남,거창군,127.9041691798796,35.73255246100811
경남,고성군,128.2905120956275,35.01590117848922
경남,김해시,128.84521546117873,35.2721563558784
경남,남해군,127.94156010583704,34.818133735721865
경남,밀양시,128.78960139880317,35.49849972718724
경남,사천시,128.03744040597232,35.049195571966415
경남,산청군,127.88433598956702,35.3685976193836
경남,양산시,129.04104756233232,35.40188947264061
경남,의령군,128.27705778648397,35.39243099412631
경남,진주시,128.12979965011226,35.20515844193993
경남,창녕군,128.49296810401242,35.50831347952496
경남,창원시,128.60045562753817,35.20113749548915
경남,통영시,128.37422930697102,34.82560593775759
경남,하동군,127.77933360316864,35.137368021512486
경남,함안군,128.4308770458519,35.29100290197944
경남,함양군,127.72204122938552,35.55160201516877
경남,합천군,128.14154150304424,35.57657420882681
경북,경산시,128.80905740662126,35.83406192277304
경북,경주시,129.23618138479515,35.82653720733105
경북,고령군,128.3067230457413,35.737196147167246
경북,구미시,128.35555270269685,36.207314777094105
경북,군위군,128.64822455261668,36.170112011372375
경북,김천시,128.07770744649966,36.060423856005336
경북,문경시,128.1486075782017,36.690789714240964
경북,봉화군,128.91294427906826,36.93415306622462
경북,상주시,128.0669804396574,36.42953341937893
경북,성주군,128.23339312858283,35.907226000739506
경북,안동시,128.78004055215712,36.580232925918686
경북,영덕군,129.31765137194105,36.4823773354663
경북,영양군,129.14503142624542,36.69638978372123
경북,영주시,128.59767755470955,36.87047376959426
경북,영천시,128.94262572793514,36.01577882488933
경북,예천군,128.42238398749225,36.6538444912804
경북,울릉군,130.86394767039087,37.50179093577027
경북,울진군,129.31264143603232,36.90390224950615
경북,의성군,128.6150736766826,36.362044859568606
경북,청도군,128.78653041739705,35.67297719472463
경북,청송군,129.05738529602672,36.356974057933336
경북,칠곡군,128.46255981369376,36.0155246941134
경북,포항시 남구,129.43793783550103,35.95847779203778
경북,포항시 북구,129.2345267236947,36.16500493522448
광주,광산구,126.75288097953778,35.165028581432736
광주,남구,126.85676038494587,35.094080226777784
광주,동구,126.94944599002717,35.11738980148712
광주,북구,126.92548093667061,35.193238099043676
광주,서구,126.85067559783258,35.13570624333588
대구,남구,128.5853131462396,35.83509273329917
대구,달서구,128.52895434590917,35.827678144956636
