요양기관명,요양종별,시도명,시군구명,폐업일자
(사)한국기독교선교단체협의회보드런의원,의원,인천,부평구,2008-10-10
(사)한국기독교선교단체협의회삼성푸른의원,의원,경기,파주시,2009-06-14
(사)한국기독교선교단체협의회새힘의원,의원,인천,부평구,2010-02-01
(사)한국기독교선교단체협의회서울의원,의원,강원,인제군,2008-02-18
(사)한국기독교선교단체협의회세화의원,의원,부산,남구,2008-09-01
(사)한국기독교선교단체협의회시민의원,의원,전북,김제시,2008-11-13
(사)한국기독교선교단체협의회시화삼성의원,의원,경기,시흥시,2009-08-18
(사)한국기독교선교단체협의회우리들연합의원,의원,광주,북구,2007-05-11
(사)한국기독교선교단체협의회우리연합의원,의원,광주,광산구,2009-09-22
(사)한국기독교선교단체협의회음성늘푸른의원,의원,충북,음성군,2009-09-10
(사)한국기독교선교단체협의회인재의원,의원,부산,동구,2008-10-28
(사)한국기독교선교단체협의회일신의원,의원,인천,부평구,2008-05-28
(사)한국기독교선교단체협의회조은메디칼의원,의원,인천,미추홀구,2010-02-13
(사)한국기독교선교단체협의회중앙성심의원,의원,인천,연수구,2010-02-01
(사)한국기독교선교단체협의회참사랑한의원,한의원,서울,강남구,2009-11-21
(사)한국기독교선교단체협의회파란메디칼의원,의원,인천,연수구,2010-02-13
(사)한국기독교선교단체협의회푸른마음의원,의원,서울,동대문구,2009-08-01
(사)한국기독교선교단체협의회하나의원,의원,강원,인제군,2008-11-07
(사)한국기독교선교단체협의회행복메디칼의원,의원,인천,남동구,2008-10-10
(사)한국기독교선교단체협의회행복한메디컬의원,의원,서울,중랑구,2009-07-08
(사)한국노년자원봉사회해운대지회한빛한의원,한의원,부산,해운대구,2012-05-14
(사)한국노동협회부설강진노동복지의원,의원,전남,강진군,2005-05-31
(사)한국노동협회부설광양노동복지의원,의원,전남,광양시,2004-12-31
(사)한국노동협회부설미당한의원,한의원,서울,강남구,2004-06-30
(사)한국노동협회부설성북하나복지의원,의원,서울,성북구,2005-05-12
(사)한국노동협회부설신세종의원,의원,경기,의정부시,2011-02-01
(사)한국노동협회부설하당의원,의원,전남,목포시,2013-09-25
(사)한국노동협회새경희한의원,한의원,경북,영천시,2013-09-06
(사)한국노동협회서부복지의원,의원,서울,서대문구,2003-03-25
(사)한국노동협회청담한의원,한의원,경기,수원시 팔달구,2004-04-27
(사)한국문화의료선교협회믿음치과의원,치과의원,서울,강남구,2016-11-25
(사)한국신장장애인협회궁동지부궁동연세의원,의원,서울,구로구,2011-02-16
(사)한국신장장애인협회비봉지부비봉의원,의원,경기,화성시,2011-09-23
(사)한국신장장애인협회사우지부준메디의원,의원,경기,김포시,2011-09-21
(사)한국신장장애인협회신현지부신현연세의원,의원,인천,서구,2011-12-21
(사)한국신장장애인협회안산이동지부고려의원,의원,경기,안산시 상록구,2012-03-13
(사)한국신장장애인협회온의지부새롬의원,의원,강원,춘천시,2011-08-16
(사)한국신장장애인협회의정부지부다우리의원,의원,경기,의정부시,2011-02-01
(사)한국의료관광융합연구원 서울의원,의원,서울,종로구,2019-08-02
(사)한국의료선교회 더바른제통의원,의원,부산,부산진구,2017-11-09
(사)한국장애인CARE협회우리들의원,의원,인천,연수구,2014-12-01
(사)한국장애인산업협회 음성의원,의원,충북,음성군,2020-05-11
(사)한국장애인케어협회굿닥터병원,병원,경기,화성시,2014-09-02
(사)한국중앙요가협회송도사랑의원,의원,인천,연수구,2012-08-27
(사)한국중앙요가협회일로중앙의원,의원,전남,무안군,2012-08-08
(사)한국지체장애인협회 새보람요양병원,요양병원,서울,도봉구,2019-05-28
(사)한국학교보건헙회인천지부호의원,의원,인천,남동구,2012-11-05
(사)한국학교보건협회강남주의원,의원,서울,강남구,2014-12-09
(사)한국학교보건협회경기도북부의정부늘좋은치과의원,치과의원,경기,의정부시,2013-12-02
(사)한국학교보건협회경기도북지부의정부늘좋은의원,의원,경기,의정부시,2014-02-03
(사)한국학교보건협회미소의원,의원,충북,청주시 흥덕구,2012-12-26
(사)한국학교보건협회서울남지부강남주치과의원,치과의원,서울,강남구,2014-09-17
(사)한국학교보건협회신기연합의원,의원,대구,동구,2013-07-29
(사)한국학교보건협회인천지부인천의원,의원,인천,남동구,2010-10-01
(사)한민족대국민화합연합회장안연세의원,의원,인천,미추홀구,2005-05-06
(사)한민족행복찾기국민운동본부고려의원,의원,충남,태안군,2006-06-05
(사)한민족행복찾기국민운동본부군산의원,의원,전북,군산시,2011-01-10
(사)한민족행복찾기국민운동본부부강의원,의원,부산,수영구,2006-08-07
(사)한민족행복찾기국민운동본부사랑의요양병원,요양병원,부산,사상구,2006-09-01
(사)한민족행복찾기국민운동본부새강서의원,의원,부산,강서구,2006-12-05
(사)한민족행복찾기국민운동본부새소망의원,의원,부산,금정구,2006-08-01
(사)한민족행복찾기국민운동본부새소망의원,의원,제주,남제주군(서귀포시),2005-06-16
(사)한민족행복찾기국민운동본부서울삼성의원,의원,부산,부산진구,2006-10-16
(사)한민족행복찾기국민운동본부하나의원,의원,부산,동래구,2007-04-02
(사)한민족행복찾기국민운동본부한서의원,의원,부산,사하구,2006-12-01
(사)한서기독재단만덕복음병원,병원,부산,북구,2006-11-13
(사)해림재단메디안의원,의원,부산,금정구,2012-04-09
(사)해림재단우리의원,의원,부산,중구,2009-06-01
(사)해림재단진사랑메디칼의원,의원,부산,동래구,2012-07-30
(사)해림재단참편한의원,의원,부산,부산진구,2012-09-05
(사)해림재단해림한의원,한의원,부산,동래구,2010-12-21
(사)해림재단효사랑의원,의원,부산,남구,2009-02-03
(사)호산사회복지법인해운대호산복지의원,의원,부산,해운대구,2003-01-02
(사)홍익계승육성회우리들의원,의원,충남,홍성군,2012-06-04
(사)홍익계승육성회푸른의원,의원,충북,충주시,2004-12-28
(사)효실천운동본부효성한의원,한의원,인천,남동구,2005-05-26
(사단)장애우사랑운동본부부설고려의원,의원,경기,군포시,2005-08-01
(사단)장애우사랑운동본부부설다원의원,의원,서울,중랑구,2007-01-31
(사단)장애우사랑운동본부부설사랑의원,의원,광주,남구,2008-12-29
(사단)장애우사랑운동본부새생명의원,의원,대전,동구,2008-08-14
(사단)장애우사랑운동본부은혜의원,의원,충북,충주시,2007-05-01
(사단)장애우자활추진본부부속연세의원,의원,대전,중구,2005-09-30
(사단)장애우자활추진본부청주다나의원,의원,충북,청주시 흥덕구,2008-03-01
(사단)한국경로복지회참편한의원,의원,부산,사하구,2006-07-31
(사단)한국기독교선교단체협의회백제의원,의원,충남,부여군,2008-10-30
(사단법인)노인의료복지경조회우리들의원,의원,경기,양주시,2006-07-12
(사단법인)명문의원,의원,광주,서구,2016-10-17
(사단법인)장애우자활추진본부은혜의원,의원,충북,보은군,2008-04-18
(사단법인)한국노년자원봉사회청담한의원,한의원,경기,수원시 팔달구,2006-01-15
(사단법인)한국노동협회늘푸른의원,의원,경기,양평군,2005-08-03
(사단법인)한국학교보건협회 부설 한우리 치과의원,치과의원,대전,중구,2017-12-14
(사단법인)한국학교보건협회서울북지부참사랑의원,의원,서울,성동구,2011-02-11
(사법)대전사랑원세종의원,의원,충북,충주시,2003-02-04
(사법)장애우사랑운동본부늘푸른한의원,한의원,대전,대덕구,2004-06-28
(사법)장애우사랑운동본부대중의원,의원,충북,제천시,2005-07-31
(사법)장애우사랑운동본부부설예산경희한의원,한의원,충남,예산군,2004-07-08
(사법)장애우사랑운동본부정다운의원,의원,충남,부여군,2006-12-01
(사복)대전사랑원삼성의원,의원,경기,화성시,2003-06-18
(사복)오복재단오복당요양병원,요양병원,부산,남구,2008-01-29
(신)제일약국,약국,경기,안산시 단원구,2009-03-17
(의) 상원의료재단 인천힘찬병원,병원,인천,연수구,2021-03-02
(의) 열린의료재단 한마음의원,의원,광주,북구,2025-03-01
(의) 예림의료재단 청록요양병원,요양병원,전북,김제시,2024-03-05
(의) 예현의료재단 서창세종메디컬의원,의원,인천,남동구,2022-12-20
(의)가산의료재단 광동한방병원,한방병원,서울,강남구,2023-07-31
(의)고담의료재단마더스병원,병원,울산,남구,2021-06-01
(의)고담의료재단마더스한의원,한의원,울산,남구,2006-10-21
(의)고려의료재단수원고려의원,의원,경기,수원시 팔달구,2002-11-16
(의)국민의료재단국도한의원,한의원,부산,부산진구,2004-12-14
(의)기독교한국침례회의료재단침례병원분원정관의원,의원,부산,기장군,2013-10-25
(의)남서울의료재단큰사랑의원,의원,경기,안양시 만안구,2003-02-10
(의)남영의료재단남영병원,병원,대전,동구,2003-08-27
(의)대선의료재단우리요양병원,요양병원,경기,안산시 상록구,2011-09-01
(의)대선의료재단으뜸요양병원,요양병원,경기,안산시 상록구,2024-11-27
