요양기관명,요양종별,시도명,시군구명,폐업일자
감초한의원,한의원,경기,여주시,2005-12-28
감초한의원,한의원,경기,화성시,2007-05-07
감초한의원,한의원,경기,성남시 중원구,2018-10-01
감초한의원,한의원,경기,평택시,2017-08-10
감초한의원,한의원,강원,원주시,2017-06-30
감초한의원,한의원,전북,전주시 덕진구,2015-07-13
감초한의원,한의원,경북,안동시,2007-08-02
감초한의원,한의원,경기,평택시,2014-07-28
감초한의원,한의원,경기,안양시 만안구,2021-01-22
감포약국,약국,경북,경주시,2008-02-26
감포한의원,한의원,경북,경주시,2020-11-09
갑룡한의원,한의원,인천,강화군,2013-06-02
갑산약국,약국,경기,부천시,2002-11-29
갑산약국,약국,경기,부천시,2003-11-01
갑산약국,약국,경기,부천시,2011-03-15
갑산한의원,한의원,경북,경주시,2004-02-27
갑산한의원,한의원,울산,남구,2010-04-06
갑샘내과의원,의원,울산,중구,2013-02-08
갑오사약국,약국,경기,하남시,2010-08-03
갑오사약국,약국,경기,하남시,2001-12-07
갑을한의원,한의원,서울,강서구,2025-02-24
갑자약국,약국,충북,청주시 상당구,2024-05-08
갑자약국,약국,충남,천안시 동남구,2020-11-30
갑자원한의원,한의원,서울,관악구,2011-03-31
갑자원한의원,한의원,경기,시흥시,2019-10-19
갑자중국한의원,한의원,인천,서구,2004-01-30
갑자한의원,한의원,충북,청주시 흥덕구,2023-05-19
갑자한의원,한의원,광주,동구,2002-06-12
갑자한의원,한의원,경북,칠곡군,2007-11-01
갑자한의원,한의원,경북,칠곡군,2009-04-01
갑자한의원,한의원,경북,영천시,2006-01-02
갑자한의원,한의원,경북,칠곡군,2014-04-07
갑진한의원,한의원,경기,안양시 동안구,2018-10-31
갓바위한의원,한의원,경기,안양시 만안구,2003-05-12
강 한의원,한의원,경기,광명시,2019-11-01
강경가정의학과의원,의원,충남,논산시,2012-09-09
강경내과의원,의원,충남,논산시,2007-07-31
강경약국,약국,충남,논산시,2008-07-18
강경원소아과의원,의원,전남,순천시,2016-06-13
강경정형외과의원,의원,충남,논산시,2008-02-01
강경제일약국,약국,충남,논산시,2008-07-01
강경주산부인과의원,의원,부산,사하구,2001-10-17
강경참좋은약국,약국,충남,논산시,2007-04-06
강구성모의원,의원,경북,영덕군,2024-08-12
강구제일한의원,한의원,경북,영덕군,2025-10-01
강구한의원,한의원,경북,영덕군,2017-11-01
강구한의원,한의원,경북,영덕군,2012-09-26
강규식통증의원,의원,경기,안양시 동안구,2002-12-30
강근수치과의원,치과의원,제주,서귀포시,2012-10-02
강기철외과의원,의원,부산,해운대구,2001-12-04
강기현치과의원,치과의원,인천,부평구,2000-04-16
강남 스마일 치과의원,치과의원,강원,철원군,2021-10-01
강남21세기약국,약국,서울,서초구,2001-07-01
강남2층약국,약국,경기,용인시 기흥구,2008-05-08
강남365mc(엠씨)의원,의원,서울,강남구,2013-06-01
강남365치과의원,치과의원,서울,강남구,2017-11-01
강남365치과의원,치과의원,서울,강남구,2023-11-02
강남SL안과의원,의원,서울,강남구,2003-07-01
강남가정의학과의원,의원,대전,중구,2018-03-05
강남가정의학과의원,의원,대전,중구,2020-07-08
강남경희한의원,한의원,서울,강남구,2002-07-15
강남경희한의원,한의원,서울,강남구,2014-03-24
강남경희한의원,한의원,서울,강남구,2022-11-01
강남고려병원,종합병원,서울,관악구,2019-02-01
강남고려의원,의원,서울,금천구,2008-04-30
강남고려치과의원,치과의원,서울,관악구,2025-08-08
강남고운미소365치과의원,치과의원,서울,서초구,2017-04-01
강남고운미소치과의원,치과의원,서울,서초구,2012-09-12
강남고운미소치과의원,치과의원,서울,서초구,2021-11-01
강남굿모닝의원,의원,부산,중구,2025-03-21
강남굿모닝치과의원,치과의원,경북,김천시,2019-10-01
강남그랜드치과의원,치과의원,서울,서초구,2021-04-29
강남그린치과의원,치과의원,서울,강남구,2005-01-31
강남글래드의원,의원,서울,서초구,2020-11-30
강남글로리안과의원,의원,서울,강남구,2007-07-09
강남글로벌서울안과의원,의원,서울,강남구,2021-01-01
강남글로벌서울안과의원,의원,서울,강남구,2023-03-25
강남기대찬의원,의원,서울,서초구,2018-11-28
강남나무치과의원,치과의원,서울,서초구,2018-09-01
강남나무치과의원,치과의원,서울,서초구,2020-11-06
강남남성파워의원,의원,대구,서구,2007-08-27
강남내과의원,의원,서울,관악구,2005-04-13
강남내과의원,의원,충북,제천시,2000-06-20
강남내과의원,의원,대구,북구,2006-04-19
강남내미지한의원,한의원,서울,서초구,2010-08-12
강남녹십자약국,약국,서울,강남구,2000-04-08
강남논현한의원,한의원,서울,강남구,2013-12-28
강남눈에봄안과의원,의원,서울,서초구,2021-03-04
강남뉴라인성형외과의원,의원,서울,강남구,2013-03-29
강남뉴라인의원,의원,서울,강남구,2014-07-26
강남당약국,약국,대구,북구,2023-11-21
강남대동한의원,한의원,서울,강남구,2014-11-10
강남대동한의원,한의원,서울,강남구,2012-02-24
강남대동한의원,한의원,강원,원주시,2024-09-02
강남대동한의원,한의원,강원,원주시,2024-10-01
강남대약국,약국,경기,용인시 기흥구,2020-07-27
강남더드림의원,의원,서울,강남구,2015-03-13
강남더밝은안과의원,의원,서울,강남구,2023-04-27
강남더블유안과의원,의원,서울,강남구,2024-04-01
강남더블유치과의원,치과의원,서울,서초구,2023-07-01
강남더엠씨의원,의원,서울,강남구,2020-07-01
강남더케이의원,의원,서울,강남구,2022-08-04
강남더케이의원,의원,경남,양산시,2022-11-01
강남더케이의원,의원,울산,북구,2023-02-17
강남더케이의원,의원,경남,양산시,2022-10-05
강남더케이의원,의원,경남,양산시,2023-05-31
강남더케이한의원,한의원,부산,해운대구,2023-06-09
강남덴토피아치과의원,치과의원,서울,강남구,2009-12-31
강남덴토피아치과의원,치과의원,서울,강남구,2005-10-14
강남동서한의원,한의원,서울,강남구,2006-12-30
강남드림약국,약국,서울,서초구,2015-02-16
강남드림의원,의원,경북,영주시,2024-08-27
강남디오빌약국,약국,서울,서초구,2009-03-18
강남라마르의원,의원,서울,강남구,2014-11-17
강남라보드의원,의원,서울,강남구,2015-02-27
강남라인의원,의원,충남,아산시,2024-08-30
강남레전드의원,의원,서울,강남구,2015-09-01
강남리더스피부과의원,의원,서울,강남구,2017-12-31
강남리즈의료생활협동조합의원,의원,서울,서초구,2016-02-29
강남리플란트치과의원,치과의원,경기,부천시,2019-12-02
강남마디박사신경외과의원,의원,서울,강남구,2021-05-28
강남마취통증의학과의원,의원,서울,강남구,2007-11-26
강남마취통증의학과의원,의원,인천,남동구,2005-11-14
강남마취통증의학과의원,의원,울산,남구,2024-12-31
강남메디약국,약국,서울,강남구,2014-11-03
강남메디칼약국,약국,경기,부천시,2017-09-21
강남메디칼약국,약국,경기,부천시,2019-05-13
강남메디칼약국,약국,경기,부천시,2007-01-08
강남메디칼의원,의원,인천,계양구,2023-10-27
강남메디컬의원,의원,경기,파주시,2022-09-16
강남메디케어의원,의원,서울,강남구,2022-03-28
강남메디한의원,한의원,충남,아산시,2008-03-10
강남메이저의원,의원,서울,강남구,2024-06-30
강남메이퓨어의원,의원,서울,강남구,2025-01-01
강남메이퓨어의원,의원,서울,강남구,2015-04-21
강남메이퓨어의원,의원,서울,강남구,2020-07-01
강남모델로피부과의원,의원,서울,강남구,2012-04-25
강남모아약국,약국,경북,예천군,2022-07-02
강남모아여성의원,의원,서울,서초구,2023-06-19
강남모아치과의원,치과의원,서울,서초구,2009-03-05
강남물방울치과의원,치과의원,서울,강남구,2020-12-31
강남미라인의원,의원,서울,강남구,2013-08-21
강남미라인치과의원,치과의원,서울,강남구,2019-03-01
강남미소인의원,의원,서울,강남구,2012-03-26
강남미시간치과의원,치과의원,서울,서초구,2017-05-25
강남미의원,의원,서울,강서구,2018-10-16
강남미의원,의원,서울,강남구,2007-05-21
강남미의원,의원,서울,강남구,2023-04-06
강남미의원,의원,충북,충주시,2012-11-30
강남미인성형외과의원,의원,서울,강서구,2011-11-18
강남믿음치과의원,치과의원,서울,서초구,2024-02-01
강남바른추의원,의원,경기,안산시 단원구,2024-08-01
강남발머스한의원,한의원,서울,강남구,2015-12-30
강남발머스한의원,한의원,서울,강남구,2019-09-06
강남밝은미소안과의원,의원,서울,강남구,2022-01-01
강남밝은성모안과의원,의원,부산,부산진구,2014-04-08
강남밝은안과의원,의원,서울,강남구,2018-10-01
강남방치과의원,치과의원,서울,강남구,2015-12-19
강남백세약국,약국,서울,강남구,2013-09-02
강남백세약국,약국,서울,강남구,2024-07-05
강남백제약국,약국,서울,강남구,2012-01-02
강남밴스의원,의원,서울,서초구,2025-11-01
강남밸런스의원,의원,서울,서초구,2016-08-16
강남밸런스의원,의원,서울,서초구,2017-11-16
강남밸런스의원,의원,경기,성남시 분당구,2018-04-01
강남밸런스의원,의원,경기,성남시 분당구,2017-04-05
강남밸런스의원,의원,경기,안양시 동안구,2022-12-31
강남밸런스의원,의원,경기,성남시 분당구,2022-07-22
강남베드로병원,병원,서울,강남구,2023-04-21
강남베드로병원,병원,서울,강남구,2012-11-30
강남베드로신경외과의원,의원,서울,강남구,2003-12-17
강남베스트의원,의원,경기,시흥시,2022-12-06
강남베이글의원,의원,서울,강남구,2016-02-07
강남벨라의원,의원,서울,서초구,2025-06-28
강남병원,병원,서울,관악구,2007-12-11
강남병원,병원,서울,관악구,2008-06-01
강남병원,병원,서울,관악구,2008-10-16
강남병원,병원,경기,용인시,2000-07-01
강남병원,병원,경기,의정부시,2013-08-26
강남병원,병원,경기,시흥시,2013-08-27
강남병원,병원,경기,의정부시,2018-02-19
강남병원,병원,경기,의정부시,2016-04-22
강남병원,병원,강원,춘천시,2003-01-02
강남병원,병원,강원,춘천시,2022-02-24
강남병원,병원,광주,남구,2021-11-17
강남병원,병원,대구,동구,2023-03-02
강남병원,병원,경북,구미시,2025-12-04
강남병원,병원,경북,구미시,2018-08-01
강남병원,병원,경남,진주시,2008-04-01
강남병원,병원,울산,남구,2001-06-01
강남보성한의원,한의원,서울,강남구,2023-10-13
강남보원한의원,한의원,서울,강남구,2025-03-18
강남복음의원,의원,서울,영등포구,2006-09-14
강남복지약국,약국,서울,강남구,2018-06-28
강남본비뇨기과의원,의원,서울,강남구,2003-02-24
강남부부치과의원,치과의원,경북,영주시,2024-01-05
강남부부한의원,한의원,서울,강남구,2012-12-03
강남부부한의원,한의원,서울,관악구,2012-05-01
강남뷰티성형외과의원,의원,서울,강남구,2016-09-30
강남뷰티성형외과의원,의원,서울,강남구,2022-03-28
강남브라운치과의원,치과의원,서울,서초구,2025-01-01
강남비뇨기과의원,의원,서울,강남구,2001-09-18
강남비뇨기과의원,의원,서울,구로구,2001-11-16
강남비뇨기과의원,의원,대구,수성구,2005-07-01
강남비뇨기과의원,의원,울산,남구,2000-02-19
강남비뇨기과의원,의원,울산,중구,2006-10-24
강남비앤비의원,의원,서울,강남구,2017-09-04
강남비엘의원,의원,서울,강남구,2010-02-25
강남비율성형외과의원,의원,부산,부산진구,2022-06-29
강남비쥬성형외과의원,의원,서울,강남구,2020-09-23
강남뽀빠이의원,의원,서울,강남구,2016-12-15
강남사람사랑치과병원,치과병원,서울,서초구,2007-07-06
강남사랑약국,약국,서울,서초구,2009-09-08
강남사랑약국,약국,서울,강남구,2016-08-04
강남사랑약국,약국,서울,서초구,2011-06-13
강남사랑약국,약국,서울,강남구,2018-11-12
강남산부인과병원,병원,경기,수원시 팔달구,2001-01-08
강남산부인과병원,병원,경기,수원시 팔달구,2003-04-01
강남산부인과병원,병원,경기,수원시 팔달구,2008-07-16
강남산부인과의원,의원,경기,평택시,2003-05-21
강남산부인과의원,의원,충북,음성군,2001-08-01
강남산부인과의원,의원,전남,순천시,2010-01-26
강남삼성드림이비인후과의원,의원,서울,강남구,2020-07-01
강남삼성드림이비인후과의원,의원,서울,강남구,2014-03-01
강남삼성안과의원,의원,서울,서초구,2010-11-08
강남삼성약국,약국,서울,강남구,2010-11-15
강남삼성외과의원,의원,서울,강남구,2007-12-07
강남삼성치과의원,치과의원,서울,강남구,2013-10-16
강남삼주약국,약국,서울,강남구,2001-10-05
강남새로이의료생활협동조합 더새로이클린타투의원,의원,서울,서초구,2017-08-21
강남새로이의료생활협동조합새로이더마스터의원,의원,서울,강남구,2015-06-04
강남새별안과의원,의원,서울,서초구,2014-01-03
강남새약국,약국,대구,동구,2017-08-16
강남새천년약국,약국,서울,강남구,2005-08-11
강남새천년약국,약국,서울,강남구,2019-01-04
강남새천년온누리약국,약국,서울,강남구,2023-12-21
강남서림약국,약국,서울,강남구,2000-09-01
강남서울내과의원,의원,서울,강남구,2012-01-30
강남서울밝은안과의원,의원,서울,강남구,2016-08-01
강남서울외과의원,의원,서울,강남구,2011-12-10
강남서울외과의원,의원,서울,관악구,2009-06-05
강남서울의원,의원,서울,강남구,2003-01-08
강남서울의원,의원,서울,영등포구,2005-04-29
강남서호의원,의원,충남,천안시 서북구,2018-07-02
강남석플란트치과의원,치과의원,서울,강남구,2011-11-24
강남성모김우태내과의원,의원,대구,수성구,2011-11-21
강남성모마취통증의학과의원,의원,서울,강남구,2010-01-23
강남성모안과의원,의원,서울,서대문구,2022-01-01
강남성모안과의원,의원,서울,서초구,2025-03-31
강남성모안과의원,의원,서울,동대문구,2008-01-01
강남성모안과의원,의원,경기,안성시,2000-10-03
강남성모안과의원,의원,경기,안성시,2002-11-01
강남성모외과의원,의원,경기,하남시,2006-03-29
강남성모의료소비자생활협동조합강남한의원,한의원,충북,제천시,2013-04-01
강남성모의원,의원,대전,서구,2002-07-25
강남성모의원,의원,경북,울진군,2018-05-27
강남성모이비인후과의원,의원,서울,강남구,2012-03-02
강남성모이비인후과의원,의원,충북,충주시,2014-11-17
강남성모이비인후과의원,의원,경기,오산시,2025-03-01
강남성심의원,의원,경북,문경시,2009-04-29
강남성형외과의원,의원,부산,부산진구,2004-03-03
강남성형외과의원,의원,울산,남구,2012-08-06
강남세란안과의원,의원,서울,강남구,2003-09-15
강남세란의원,의원,서울,서초구,2017-03-31
강남세란의원,의원,부산,부산진구,2006-04-26
강남세란의원,의원,부산,부산진구,2007-06-29
강남세종한의원,한의원,서울,강남구,2016-12-29
강남센느약국,약국,서울,강남구,2019-11-01
강남센트럴비뇨기과의원,의원,서울,서초구,2006-02-01
강남센트럴요양병원,요양병원,서울,강남구,2016-06-30
강남센트럴의원,의원,전남,목포시,2017-10-25
강남소망의원,의원,서울,강남구,2005-05-10
강남소아과의원,의원,서울,영등포구,2000-09-27
강남소중한눈안과의원,의원,서울,서초구,2008-08-01
강남소화약국,약국,서울,강남구,2021-09-24
강남수병원,병원,서울,송파구,2011-02-08
강남수소아청소년과의원,의원,인천,계양구,2009-02-16
강남수약국,약국,서울,서초구,2019-12-31
강남수요양병원,요양병원,서울,관악구,2019-01-15
강남수정약국,약국,서울,강남구,2000-02-13
강남수한의원,한의원,경기,광명시,2011-08-02
강남수한의원,한의원,경기,광명시,2012-10-09
강남수한의원,한의원,경기,광명시,2011-03-10
강남순화의원,의원,서울,강동구,2010-10-19
강남스마일안과의원,의원,부산,부산진구,2023-01-02
강남스타28치과의원,치과의원,서울,강남구,2009-04-30
강남스타리움의원,의원,서울,서초구,2024-03-13
강남시장약국,약국,경기,부천시,2008-02-01
강남시장약국,약국,경기,부천시,2006-08-08
강남시장약국,약국,경기,부천시,2012-06-04
강남시장약국,약국,경기,부천시,2009-03-25
강남시장약국,약국,경기,부천시,2022-02-19
강남시카고치과의원,치과의원,서울,서초구,2011-11-28
강남시카고치과의원,치과의원,서울,강남구,2015-01-22
강남신경외과의원,의원,전북,전주시 완산구,2002-03-26
강남신광한의원,한의원,서울,서초구,2015-10-02
강남신광한의원,한의원,서울,서초구,2016-12-01
강남신광한의원,한의원,서울,서초구,2023-02-01
강남십자병원,병원,서울,금천구,2006-02-01
강남쎌로의원,의원,서울,강남구,2022-04-07
강남아산병원,병원,서울,영등포구,2014-06-26
강남아이디안과의원,의원,서울,서초구,2024-11-01
강남아이디의원,의원,서울,서초구,2023-08-16
강남아이디의원,의원,서울,서초구,2025-11-01
강남아이린의원,의원,서울,서초구,2023-11-03
강남아이성형외과의원,의원,서울,서초구,2019-09-27
강남아이원안과의원,의원,서울,강남구,2015-06-18
강남안과의원,의원,서울,강남구,2017-09-30
강남알파약국,약국,서울,강남구,2008-07-09
강남알파약국,약국,서울,강남구,2010-02-24
강남약국,약국,서울,관악구,2005-03-11
강남약국,약국,서울,강동구,2002-07-12
강남약국,약국,서울,광진구,2000-09-06
강남약국,약국,서울,송파구,2001-09-21
강남약국,약국,서울,용산구,2003-04-02
강남약국,약국,서울,강남구,2000-03-19
강남약국,약국,서울,강동구,2004-10-18
강남약국,약국,서울,강동구,2023-06-05
강남약국,약국,서울,서초구,2008-11-10
강남약국,약국,서울,관악구,2010-12-29
강남약국,약국,서울,서초구,2012-05-11
강남약국,약국,서울,서초구,2012-11-20
강남약국,약국,부산,동래구,2002-04-04
강남약국,약국,부산,부산진구,2018-11-04
강남약국,약국,강원,강릉시,2009-07-20
강남약국,약국,전남,광양시,2003-03-20
강남약국,약국,전남,순천시,2000-08-10
강남약국,약국,대구,수성구,2022-12-01
강남약국,약국,경북,영천시,2010-09-13
강남약국,약국,경북,상주시,2005-02-28
강남약국,약국,경북,경주시,2006-01-10
강남약국,약국,경북,상주시,2005-07-11
강남약국,약국,경북,경주시,2006-11-17
강남약국,약국,경남,양산시,2008-11-03
강남약국,약국,경기,하남시,2021-04-01
강남약국,약국,인천,서구,2018-10-10
강남약손한의원,한의원,서울,강남구,2005-10-31
강남약손한의원,한의원,서울,강남구,2006-06-26
강남에덴치과의원,치과의원,서울,강남구,2013-01-08
강남에스엘안과의원,의원,서울,강남구,2005-03-05
강남에이든치과의원,치과의원,서울,강남구,2024-06-01
강남에이스의원,의원,서울,강남구,2009-09-23
강남에이치여성의원,의원,서울,서초구,2023-04-30
강남에이플러스치과의원,치과의원,서울,강남구,2025-05-29
강남엔스트의원,의원,서울,강남구,2024-09-20
강남엘성형외과의원,의원,세종,세종시,2021-04-19
강남엠디성형외과의원,의원,서울,강남구,2009-12-28
강남엠유산부인과의원,의원,서울,강남구,2020-11-10
강남엠치과의원,치과의원,서울,서초구,2010-10-13
강남여성병원,병원,경기,수원시 팔달구,2008-11-28
강남역 2번출구 약국,약국,서울,강남구,2024-05-07
강남역 스타약국,약국,서울,강남구,2019-07-08
강남역개찰구약국,약국,서울,강남구,2023-01-11
강남역예쁨주의쁨의원,의원,서울,서초구,2020-07-16
강남연세내과의원,의원,서울,강남구,2020-04-27
강남연세병원,병원,경기,용인시 기흥구,2012-04-02
강남연세빛안과의원,의원,서울,서초구,2024-04-30
강남연세사랑의원,의원,서울,서초구,2010-09-27
강남연세산부인과의원,의원,서울,강남구,2023-06-16
강남연세샘치과의원,치과의원,서울,강남구,2017-12-03
강남연세소아과의원,의원,서울,강남구,2012-03-29
강남연세의원,의원,경기,수원시 팔달구,2015-06-22
강남연세의원,의원,전북,군산시,2013-10-18
강남연세의원,의원,경기,용인시 기흥구,2011-05-11
강남연세인의원,의원,서울,강남구,2025-01-06
강남연세재활의학과의원,의원,대구,수성구,2011-07-01
강남연세정형외과의원,의원,서울,송파구,2025-07-01
강남연세정형외과의원,의원,경기,용인시 기흥구,2007-03-28
강남연합의원,의원,충북,충주시,2013-01-14
강남연합의원,의원,대구,북구,2007-01-02
강남연합치과의원,치과의원,서울,서초구,2006-06-20
강남연합치과의원,치과의원,충남,공주시,2004-05-18
강남열린약국,약국,서울,강남구,2002-06-02
강남열린약국,약국,서울,강남구,2010-06-08
강남영상의학과의원,의원,서울,강남구,2024-01-25
강남영치과의원,치과의원,서울,강남구,2023-11-30
강남예쁨주의쁨의원,의원,서울,강남구,2025-04-29
강남예일치과의원,치과의원,서울,강남구,2008-06-02
강남오라의원,의원,서울,강남구,2015-04-23
강남오렌지약국,약국,서울,강남구,2009-04-29
강남와이케이병원,병원,서울,강남구,2025-10-01
강남외과의원,의원,서울,강남구,2020-08-07
강남요양병원,요양병원,서울,서초구,2020-12-01
강남요양병원,요양병원,부산,부산진구,2006-01-02
강남요양병원,요양병원,부산,부산진구,2006-05-01
강남요양병원,요양병원,부산,부산진구,2011-03-10
강남요양병원,요양병원,경기,부천시,2007-05-04
강남요양병원,요양병원,경기,부천시,2010-01-01
강남요양병원,요양병원,경기,부천시,2010-02-01
강남요양병원,요양병원,경기,부천시,2010-06-21
강남우리들치과의원,치과의원,서울,강남구,2019-10-31
강남우리집의원,의원,서울,강남구,2010-05-19
강남우신병원,병원,서울,관악구,2001-11-01
강남원성형외과의원,의원,서울,강남구,2012-10-31
강남웰치과의원,치과의원,경남,거제시,2013-07-01
강남웰치과의원,치과의원,경남,거제시,2023-04-01
강남유나이티드병원,병원,서울,강남구,2024-04-01
강남유닉플란트치과의원,치과의원,서울,강남구,2022-02-06
강남유앤아이성형외과의원,의원,서울,강남구,2010-02-18
강남을지병원,병원,서울,강남구,2012-08-01
강남의림의원,의원,서울,서초구,2008-03-03
강남의림의원,의원,서울,서초구,2007-01-02
강남의림의원,의원,서울,서초구,2009-12-31
강남의림한방병원,한방병원,서울,서초구,2014-04-30
강남의림한의원,한의원,서울,서초구,2025-06-10
강남의림한의원,한의원,서울,서초구,2015-07-01
강남의원,의원,서울,서초구,2015-02-12
강남의원,의원,서울,중구,2000-05-30
강남의원,의원,서울,강북구,2014-02-12
강남의원,의원,부산,부산진구,2020-12-01
강남의원,의원,부산,사하구,2009-03-02
강남의원,의원,부산,해운대구,2017-02-24
강남의원,의원,부산,동구,2015-02-26
강남의원,의원,인천,연수구,2008-10-09
강남의원,의원,인천,부평구,2025-07-14
강남의원,의원,경기,부천시,2010-10-08
강남의원,의원,경기,성남시 분당구,2002-08-11
강남의원,의원,충북,영동군,2024-06-07
강남의원,의원,충북,제천시,2012-03-15
강남의원,의원,충북,제천시,2013-04-15
강남의원,의원,충남,"천안시(천안서북구,동남구)",2000-10-01
강남의원,의원,충남,천안시 서북구,2011-08-01
강남의원,의원,전북,전주시 완산구,2013-03-29
강남의원,의원,광주,북구,2020-04-23
강남의원,의원,전남,목포시,2012-12-22
강남의원,의원,광주,북구,2019-09-02
강남의원,의원,광주,북구,2020-07-27
강남의원,의원,대구,서구,2000-07-05
강남의원,의원,경기,김포시,2022-09-20
강남의원,의원,경기,김포시,2022-05-19
강남의원,의원,경기,김포시,2024-01-26
강남이-고은아이치과의원,치과의원,서울,서초구,2004-10-30
강남이병원,종합병원,서울,서초구,2001-07-09
강남이병원,종합병원,서울,서초구,2003-02-06
강남이비인후과의원,의원,서울,서초구,2007-04-23
강남이수비뇨기과의원,의원,서울,동작구,2008-10-01
강남이엘치과의원,치과의원,서울,강남구,2015-05-01
강남이오스안과의원,의원,서울,서초구,2021-11-01
강남이오스안과의원,의원,서울,서초구,2017-09-01
강남이조은안과의원,의원,서울,강남구,2024-01-05
강남이즈치과의원,치과의원,서울,서초구,2009-02-03
강남이즈치과의원,치과의원,서울,서초구,2009-12-31
강남이즈치과의원,치과의원,서울,서초구,2012-01-30
강남이탑치과의원,치과의원,서울,강남구,2013-09-25
강남이편한치과의원,치과의원,서울,강남구,2008-05-01
강남이플러스치과의원,치과의원,서울,강남구,2008-12-26
강남이희중성형외과의원,의원,서울,강남구,2007-12-17
강남인동한의원,한의원,서울,강남구,2006-02-21
강남인치과의원,치과의원,서울,강남구,2011-12-26
강남인한의원,한의원,서울,강남구,2007-05-01
강남인한의원,한의원,서울,강남구,2005-02-01
강남일광약국,약국,서울,강남구,2002-11-23
강남자연내과의원,의원,서울,강남구,2014-11-01
강남재활의학과의원,의원,경기,하남시,2016-05-27
강남재활의학과의원,의원,충남,서산시,2003-08-20
강남정문약국,약국,경기,용인시 기흥구,2015-09-02
강남정형외과의원,의원,서울,금천구,2006-09-01
강남정형외과의원,의원,인천,계양구,2024-06-28
강남정형외과의원,의원,울산,남구,2010-04-01
강남정형외과의원,의원,경남,진주시,2022-04-12
강남제이피부과의원,의원,서울,강남구,2019-06-01
강남제이한의원,한의원,서울,광진구,2013-09-25
강남제일병원,병원,서울,강남구,2000-11-22
강남제일의원,의원,서울,관악구,2005-10-01
강남제일의원,의원,서울,금천구,2002-05-01
강남제일의원,의원,서울,관악구,2002-11-19
강남제일의원,의원,서울,관악구,2002-12-31
강남제일의원,의원,서울,강남구,2013-11-29
강남제일의원,의원,서울,강남구,2020-03-11
강남제일치과의원,치과의원,서울,강남구,2016-09-02
강남제통의원,의원,충남,"천안시(천안서북구,동남구)",2006-05-09
강남조은약국,약국,서울,강남구,2025-01-02
강남종근당약국,약국,서울,강남구,2007-06-01
강남주니스의원,의원,부산,해운대구,2020-02-29
강남주니어소아청소년과의원,의원,서울,송파구,2021-03-25
강남주의원,의원,서울,강남구,2005-09-12
강남준의원,의원,전북,전주시 완산구,2017-04-11
강남지인병원,병원,서울,강남구,2023-10-16
강남진약국,약국,서울,강남구,2000-12-27
강남차차약국,약국,서울,강남구,2023-05-10
강남차한방병원,한방병원,서울,강남구,2001-04-07
강남참약국,약국,서울,강동구,2022-06-24
강남참약국,약국,경기,양주시,2023-04-03
강남참약국,약국,경기,양주시,2025-09-15
강남참약국,약국,경기,양주시,2025-10-20
강남채움의원,의원,서울,강남구,2017-01-31
강남척카이로의원,의원,서울,강남구,2016-01-15
강남청담미의원,의원,서울,강남구,2024-06-01
강남청심한의원,한의원,서울,강남구,2004-08-16
강남청아한의원,한의원,서울,강남구,2006-11-28
강남초이스병원,병원,서울,관악구,2016-02-16
강남초이스병원,병원,서울,관악구,2024-08-01
강남초이스의원,의원,서울,마포구,2016-02-16
강남초이스정형외과의원,의원,서울,강남구,2007-07-28
강남치과의원,치과의원,서울,중랑구,2013-07-10
강남치과의원,치과의원,서울,용산구,2013-02-14
강남치과의원,치과의원,서울,강남구,2006-05-22
강남치과의원,치과의원,경기,용인시,2000-03-04
강남치과의원,치과의원,경기,안산시 단원구,2003-12-15
강남치과의원,치과의원,경기,용인시,2000-07-01
강남치과의원,치과의원,충남,서산시,2011-06-01
강남치과의원,치과의원,경북,경주시,2005-08-01
강남치과의원,치과의원,울산,울주군,2017-10-13
강남케이뷰티성형외과의원,의원,서울,강남구,2025-06-23
강남케이뷰티성형외과의원,의원,서울,강남구,2018-11-13
강남코센의원,의원,광주,서구,2012-10-08
강남코어의원,의원,서울,강남구,2010-07-06
강남콜럼비아치과의원,치과의원,서울,강남구,2008-02-21
강남콜럼비아치과의원,치과의원,서울,강남구,2008-06-30
강남탑치과의원,치과의원,서울,강남구,2010-11-03
강남태평양약국,약국,서울,강남구,2003-02-17
강남태평양약국,약국,서울,강남구,2002-02-01
강남태평양약국,약국,서울,강남구,2025-07-15
강남퍼스트치과의원,치과의원,서울,강남구,2011-04-07
강남포에버의원,의원,서울,강남구,2019-03-20
강남포에버의원,의원,서울,강남구,2018-06-12
강남포에버의원,의원,서울,강남구,2021-09-01
강남포커스안과의원,의원,서울,서초구,2016-04-30
강남푸른성모안과의원,의원,서울,서초구,2014-12-31
강남푸른숲한의원,한의원,서울,서초구,2018-03-01
강남푸른숲한의원,한의원,서울,서초구,2017-09-05
강남푸른약국,약국,강원,춘천시,2019-07-21
강남푸른정신과의원,의원,서울,강남구,2010-05-14
강남푸른치과의원,치과의원,서울,강남구,2008-12-31
강남푸른치과의원,치과의원,서울,강남구,2012-11-02
강남프라자약국,약국,강원,동해시,2022-04-08
강남프리즘치과의원,치과의원,서울,강남구,2015-04-10
강남플란트치과의원,치과의원,서울,서초구,2017-03-29
강남플란트치과의원,치과의원,서울,서초구,2018-10-31
강남피보약국,약국,서울,강남구,2004-12-27
강남피부과의원,의원,부산,부산진구,2001-03-23
강남피부과의원,의원,부산,부산진구,2002-03-14
강남피부과의원,의원,부산,부산진구,2004-03-03
